Όνομα;Κωδ.ΥΠΑΙΘ;Τύπος (1.Νηπ/2.Δημ);Ομάδα;Ανενεργό
ΑΓΝΩΣΤΟ;1234567;0;0;0
ΔΙΑΘΕΣΗ ΠΥΣΠΕ;2222222;0;0;0
